iter	Passed	Remaining
0	2	213
1	3	195
2	5	182
3	7	170
4	8	168
5	10	166
6	12	164
7	14	161
8	15	159
9	17	159
10	19	157
11	21	154
12	22	151
13	24	149
14	25	146
15	27	146
16	29	146
17	31	145
18	33	144
19	35	143
20	37	140
21	39	138
22	40	136
23	42	134
24	44	132
25	45	129
26	47	128
27	49	126
28	50	124
29	52	122
30	54	120
31	55	118
32	57	116
33	58	114
34	60	112
35	62	110
36	63	108
37	65	107
38	67	105
39	69	103
40	70	101
41	71	98
42	73	97
43	75	95
44	77	94
45	78	92
46	80	90
47	82	89
48	84	87
49	85	85
50	87	83
51	89	82
52	91	80
53	93	79
54	94	77
55	96	75
56	98	74
57	100	72
58	102	71
59	104	69
60	106	67
61	108	66
62	109	64
63	111	62
64	113	60
65	114	59
66	116	57
67	118	55
68	120	53
69	121	52
70	123	50
71	125	48
72	127	47
73	128	45
74	130	43
75	132	41
76	133	39
77	135	38
78	136	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	25
85	148	24
86	150	22
87	152	20
88	153	19
89	155	17
90	157	15
91	159	13
92	160	12
93	162	10
94	164	8
95	165	6
96	167	5
97	169	3
98	171	1
99	173	0
